episode,train_makespan,train_reward,actor_loss,critic_loss,entropy_loss,eval_makespan,eval_reward,jains_index,task_load_variance,current_lr,exploration_epsilon,total_random_actions,exploration_phase
136,181.76339955986947,-186.16579703019542,0.07973200199194252,3368.79345703125,2.5235601663589478,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,820,early
137,182.7869033813577,-185.9647002017664,0.009115389548242092,3834.6368408203125,2.584523916244507,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,824,early
138,163.66698156674747,-160.3865524295526,-0.04705791641026735,1944.44140625,2.6539878249168396,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,830,early
139,155.33842540891172,-151.11292217807673,-0.011478513551992364,2377.8952026367188,2.5303969979286194,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,831,early
140,183.29764075209994,-185.61009036340042,0.040102198254317045,3183.84326171875,2.657760977745056,,,0.96,0.96,0.00023152500000000003,0.24,834,early
141,183.60192001027474,-187.33296249615546,0.03874379163607955,3541.7659912109375,2.578850209712982,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,837,early
142,168.74661417774703,-169.2503114224126,0.045175764709711075,2469.9560546875,2.6492693424224854,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,841,early
143,159.1998147170483,-156.55397023538347,0.0022141083609312773,2162.80859375,2.6555063128471375,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,848,early
144,171.23266582617603,-170.83091543095216,0.08901917934417725,3068.6903686523438,2.5645374059677124,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,853,early
145,167.92409208694897,-166.77560214900515,0.012291275430470705,2724.4501342773438,2.593538284301758,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,859,early
146,180.07750132034144,-182.27844985026343,0.023796779103577137,3162.3133544921875,2.581570863723755,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,863,early
147,165.97008575196585,-165.86576493428637,0.048234001093078405,2306.791015625,2.609657049179077,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,871,early
148,165.20866368690872,-163.30452170870484,0.03148860391229391,2771.74755859375,2.6222223043441772,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,877,early
149,168.38713109522743,-167.28537346281837,-0.0004387770895846188,2101.2145385742188,2.688719630241394,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,883,early
150,160.13072028480204,-156.03857915560675,0.06441669818013906,2463.99853515625,2.5788050293922424,168.32719567470525,-167.71242767954277,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,889,early
151,173.64276817418062,-174.8971935397281,-0.0012380963498799247,3665.421142578125,2.5329365134239197,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,897,early
152,182.6292166265887,-187.54400679026725,-0.00044712191447615623,3283.9163818359375,2.6351383924484253,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,901,early
153,182.11096159505973,-185.7064524450987,0.018382060923613608,3885.56640625,2.5306889414787292,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,907,early
154,202.68512928270937,-211.6330023325788,0.06588437361642718,4503.9195556640625,2.5953754782676697,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,910,early
155,158.62236071670313,-155.00094551188542,0.045370861305855215,2357.9560546875,2.614964008331299,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,915,early
156,174.94368026726465,-176.83287550805056,0.014483869541436434,2608.9011840820312,2.651124954223633,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,921,early
157,163.6039499544345,-161.82088701052973,0.09279700089246035,2280.9906616210938,2.616026759147644,,,0.96,0.96,0.00023152500000000003,0.24,927,early
158,181.26840539793912,-185.14832952625002,0.011788010131567717,3406.5167236328125,2.6461878418922424,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,933,early
159,197.18423791713013,-205.0265635327916,0.024258528370410204,4537.375,2.5754525661468506,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,939,early
160,182.79364927572973,-186.1019850206172,0.0384583318955265,3974.306640625,2.528927743434906,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,942,early
161,152.13703347960026,-147.20352736089336,0.05417049955576658,1905.6282653808594,2.646653473377228,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,949,early
162,172.58804224479218,-173.243054146718,0.04562102537602186,2953.596435546875,2.6934239864349365,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,951,early
163,162.11163091750308,-160.28730096792816,0.0046697750221937895,2561.9219970703125,2.5340107679367065,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,957,early
164,180.92559564477986,-183.75229587716038,0.04346375819295645,3416.9380493164062,2.7007731199264526,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,963,early
165,145.09629976520463,-137.79448248205324,0.030105380341410637,2026.0709228515625,2.535711348056793,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,970,early
166,174.10277354381225,-176.2323162384757,-0.021069261245429516,3306.79443359375,2.536652982234955,,,0.976271186440678,0.5599999999999999,0.00018522000000000005,0.24,975,early
167,178.03454210037413,-180.93571666607406,0.0012530284002423286,3372.2664184570312,2.565923035144806,,,0.993103448275862,0.15999999999999998,0.00018522000000000005,0.24,984,early
168,161.4665608115757,-158.7757892778969,0.04609750653617084,2679.4306640625,2.5379726886749268,,,0.976271186440678,0.5599999999999999,0.00018522000000000005,0.24,989,early
169,170.0934561850925,-168.95953746720906,0.022939841612242162,2943.311767578125,2.5367103219032288,,,0.976271186440678,0.5599999999999999,0.00018522000000000005,0.24,996,early
